TM_DRIVERID,TM_REGISTRATION_NUMBER,COMPANY_CODE,VEHICLE_TYPE_DESCRIPTION,PRODUCT_CODE,FUEL_TYPE,MAX_SPEED,NO_OF_HARSH_BRAKES,NO_OF_HARSH_ACCELERATION,NO_OF_SPEED_VIOLATIONS,NO_EXCESS_IDLE,NO_OF_TRIPS,ENGINE_CAPACITY,FUEL_CONSUMPTION,NUMBER_OF_GEARS,RENTAL,KM_DRIVEN,PROJECTED_EXCESS_KM_CHARGE,SPEED_PENALTY_POINTS,SPEEDING_TIME_SECONDS,DRIVING_TIME,total_time_driven,TM_SCORE,Num_times_yawned,Num_times_Angry,Num_times_sleepy,cluster
65535,FB63PMGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,156,6,1,1157,0,102,2198,6.8,6,7074.911667,1996.9389999999999,20311.85,3201.0,17485.0,160.0,33,59.94941,14,16,19,0
65535,FB70GDGP,RSA,PANEL VAN - LIGHT,FML,PETROL,126,5,4,1,1,278,1206,5.3999999999999995,5,4468.896182714286,2042.5732857142855,962.8500000000001,1.2857142857142858,19.571428571428573,1543.4285714285713,53,96.54291,8,9,10,4
65535,FB70GHGP,RSA,PANEL VAN - LIGHT,FML,PETROL,136,1,0,19,0,490,1206,5.3999999999999995,5,4456.201475444444,4140.291222222222,25.009999999999998,24.555555555555557,318.8888888888889,1501.3333333333333,461,87.66846444444442,8,11,10,4
65535,FB70GNGP,RSA,PANEL VAN - LIGHT,FML,PETROL,138,7,7,3,38,146,1206,5.3999999999999995,5,4940.531475444444,1714.1109999999999,1564.46,4.333333333333333,64.22222222222223,2027.5555555555557,48,88.41446555555555,9,12,10,4
65535,FB70GSGP,RSA,PANEL VAN - LIGHT,FML,PETROL,158,39,60,299,13,203,1206,5.3999999999999995,5,4456.201475444444,2443.477666666666,2129.76,570.2222222222222,4644.666666666667,1937.3333333333333,60,43.39808,9,11,11,0
65535,FB70GWGP,RSA,PANEL VAN - LIGHT,FML,PETROL,157,5,0,152,4,203,1206,5.3999999999999995,5,4456.201475444444,2960.1028888888886,2511.98,272.0,2323.222222222222,2397.777777777778,55,80.2120388888889,9,13,11,4
65535,FC18TJGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,34,0,0,0,0,3,2982,10.6,5,10206.8,10.511,0.0,0.0,0.0,1832.0,0,100.0,7,10,6,2
65535,FC19BGGP,RSA,PANEL VAN - LIGHT,FML,PETROL,134,5,16,0,6,169,1206,5.4,5,4776.6308888,2207.968,0.0,0.0,4.0,1832.8,53,93.657574,7,9,9,4
65535,FC19CGGP,RSA,PANEL VAN - LIGHT,FML,PETROL,150,1,3,8,0,25,1206,5.4,5,3295.93,268.54999999999995,0.0,16.5,144.5,1824.0,6,81.15444000000001,8,9,12,2
65535,FC27GJGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,173,15,27,744,58,116,1497,6.2,0,8582.9,3430.933333333333,2321.04,1600.3333333333333,11374.0,2465.3333333333335,98,46.35634666666667,8,12,9,0
65535,FC31FMGP,RSA,LIGHT COMMERCIAL VEHICLE,FML,DIESEL,161,5,1,171,84,311,2494,8.700000000000001,5,9724.092094249998,3190.64025,3367.419999999999,392.25,2676.75,1530.0,108,73.21914124999999,7,9,10,4
65535,FC31FVGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,188,14,29,1631,104,283,1987,7.3999999999999995,0,9766.4078125,4645.11475,0.0,4677.875,24799.625,2090.0,95,51.4442725,50,40,42,3
65535,FC33KGGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,139,5,0,0,2,133,1398,6.2,5,4381.52347825,2108.3515,2387.36,0.75,12.0,1156.0,52,97.76837,5,7,8,4
65535,FC33KNGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,139,1,2,3,0,73,1398,6.2,5,4378.3125,2713.60075,0.0,4.5,64.75,1633.0,35,96.55305999999999,6,9,9,2
65535,FC33KSGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,138,4,0,0,26,118,1398,6.2,5,4381.52347825,1973.7505,1114.13,0.5,12.5,1036.0,44,93.45752999999999,7,8,9,2
65535,FC33LLGP,RSA,PASS ALL(EXCL D/CAB),FML,PETROL,141,1,0,0,58,200,1398,6.2,5,4381.52347825,2714.005,4450.8,0.0,2.5,1277.0,66,90.86658249999999,8,8,9,4
