,FR,FL,RR,RL
2016-04-20 06:28:01.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:01.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:02.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:03.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:04.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:05.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:06.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:07.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:08.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:09.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:10.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:11.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.000,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.100,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.200,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.300,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.400,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.500,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.600,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.700,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.800,0.0,0.0,0.0,0.0
2016-04-20 06:28:12.900,0.0,0.0,0.0,0.0
2016-04-20 06:28:13.000,0.0,0.0,0.0,0.0
